Unnamed: 0,property_name,per_sqft,bedroom,bathroom,configuration,area,area_type,floor_number,facing,age_possession,location,property_type,price_cr,Luxury_score,society_encoded,sector_encoded
419,Sector 61,22750.0,4,4,4,2438.0,Super Built-up,10.0,North,Ready To Move,Pioneer Park,Flat,4.55,0,4.275,3.042666666666667
420,Sector 85,9726.0,3,4,3,1645.0,Super Built-up,4.0,West,Ready To Move,Orris Carnation Residency,Flat,1.6,0,1.41,2.713055555555556
421,Sector 110,14647.0,4,5,4,3400.0,Super Built-up,15.0,North-East,Ready To Move,Indiabulls Enigma,Flat,4.98,0,5.0,4.583333333333333
422,Sector 102,13499.0,3,3,3,1889.0,Super Built-up,0.0,North-East,Ready To Move,Adani M2K Oyster Grande,Flat,2.55,0,2.861428571428572,2.667326732673267
423,Sector 104,14758.0,3,2,3,1389.0,Super Built-up,26.0,North-East,Ready To Move,Hero Homes,Flat,2.05,0,2.0712244897959184,2.838395061728395
424,Sector 59,24343.0,3,3,3,2095.0,Super Built-up,0.0,North-East,Ready To Move,Conscient Elevate,Flat,5.1,0,5.71157894736842,6.363809523809524
425,Sector 67,17724.0,3,3,3,2048.0,Super Built-up,0.0,North,Ready To Move,M3M Merlin,Flat,3.63,6,4.672666666666667,4.372857142857143
426,Sector 67,18856.0,4,5,4,3341.0,Super Built-up,0.0,Unknown,Ready To Move,M3M Merlin,Flat,6.3,9,4.672666666666667,4.372857142857143
427,Sector 81,16643.0,4,4,4,2872.0,Super Built-up,0.0,North-East,Ready To Move,DLF The Ultima,Flat,4.78,6,4.032666666666667,3.7062857142857135
428,Sector 69,11583.0,4,5,4,2400.0,Super Built-up,12.0,East,Ready To Move,Tulip Purple,Flat,2.78,0,2.77,3.0326829268292683
429,Sector 69,11875.0,4,5,4,2400.0,Super Built-up,12.0,East,Ready To Move,Tulip Purple,Flat,2.85,6,2.77,3.0326829268292683
430,Sohna,9473.0,2,2,2,1425.0,Super Built-up,0.0,North-East,Ready To Move,Silverglades The Melia,Flat,1.35,15,1.4666666666666668,2.1345454545454543
431,Sector 104,12663.0,3,4,3,2290.0,Super Built-up,27.0,North-East,Ready To Move,ATS Triumph,Flat,2.9,0,3.817222222222222,2.838395061728395
432,Sector 99,13525.0,3,3,3,2780.0,Super Built-up,0.0,North,Ready To Move,Vatika Sovereign Park,Flat,3.76,0,3.935263157894737,3.950277777777778
433,Sector 69,11333.0,4,5,4,2400.0,Super Built-up,14.0,North-East,Ready To Move,Tulip Purple,Flat,2.72,6,2.77,3.0326829268292683
434,Sector 70A,16911.0,3,3,3,1703.0,Super Built-up,0.0,West,Ready To Move,AIPL Zen Residences,Flat,2.88,6,2.5125,3.154516129032258
435,Sector 70A,17432.0,2,2,2,1262.0,Super Built-up,7.0,North-East,Ready To Move,AIPL Zen Residences,Flat,2.2,6,2.5125,3.154516129032258
436,Sector 106,15363.0,3,3,3,1855.0,Super Built-up,34.0,East,Ready To Move,Godrej Meridien,Flat,2.85,0,2.8880000000000003,2.6783018867924526
437,DLF Phase 5,30651.0,4,4,4,2610.0,Carpet,18.0,East,Ready To Move,DLF The Icon,Flat,8.0,0,8.5,6.720000000000001
438,Sector 110,14264.0,4,5,4,3400.0,Super Built-up,15.0,North-East,Ready To Move,Indiabulls Enigma,Flat,4.85,6,5.0,4.583333333333333
439,Sector 109,28383.0,3,4,3,2100.0,Super Built-up,0.0,Unknown,Ready To Move,Chintels Serenity,Flat,3.21,0,2.8575,9.683529411764706
440,Sector 67,19365.0,3,3,3,2427.0,Super Built-up,9.0,East,Ready To Move,M3M Merlin,Flat,4.7,0,4.672666666666667,4.372857142857143
441,Sector 109,15959.0,3,4,3,1955.0,Super Built-up,20.0,North,Ready To Move,Chintels Serenity,Flat,3.12,0,2.8575,9.683529411764706
442,Sector 106,15739.0,2,2,2,1366.0,Super Built-up,15.0,North,Ready To Move,Godrej Meridien,Flat,2.15,0,2.8880000000000003,2.6783018867924526
443,Sohna,11525.0,3,3,3,1527.0,Super Built-up,5.0,East,Ready To Move,Ashiana Anmol,Flat,1.76,0,1.553,2.1345454545454543
444,Sector 67,19315.0,3,3,3,2045.0,Super Built-up,0.0,Unknown,Ready To Move,M3M Merlin,Flat,3.95,0,4.672666666666667,4.372857142857143
445,Sector 102,14505.0,3,3,3,1689.0,Super Built-up,24.0,West,Ready To Move,Adani M2K Oyster Grande,Flat,2.45,6,2.861428571428572,2.667326732673267
446,Sector 106,16000.0,3,3,3,1625.0,Super Built-up,0.0,North-East,Ready To Move,Godrej Meridien,Flat,2.6,0,2.8880000000000003,2.6783018867924526
447,Nirvana Country,16935.0,3,4,3,2480.0,Super Built-up,0.0,South,Ready To Move,The Close South,Flat,4.2,6,4.566666666666666,9.31625
448,Sector 81,17339.0,4,4,4,2872.0,Super Built-up,0.0,North-East,Ready To Move,DLF The Ultima,Flat,4.98,0,4.032666666666667,3.7062857142857135
449,Sector 90,11139.0,3,4,3,1930.0,Super Built-up,1.0,Unknown,Ready To Move,DLF New Town Heights 1,Flat,2.15,0,2.309090909090909,2.261428571428572
450,Sector 48,17123.0,4,4,4,2336.0,Super Built-up,14.0,Unknown,Ready To Move,Bestech Park View City,Flat,4.0,9,3.6942857142857135,9.550147058823528
451,Sector 82A,16890.0,4,4,4,2309.0,Super Built-up,32.0,West,Ready To Move,DLF The Primus,Flat,3.9,6,3.5392857142857146,3.481333333333333
452,Sector 81,17354.0,3,3,3,2132.0,Super Built-up,29.0,North-East,Ready To Move,DLF The Ultima,Flat,3.7,6,4.032666666666667,3.7062857142857135
453,Sector 106,15734.0,3,3,3,2002.0,Carpet,8.0,North-East,Ready To Move,Godrej Meridien,Flat,3.15,0,2.8880000000000003,2.6783018867924526
454,Sector 42,75590.0,4,4,4,6350.0,Super Built-up,10.0,North-East,Ready To Move,DLF The Magnolias,Flat,48.0,7,44.833333333333336,30.463636363636365
455,Sector 102,12352.0,3,3,3,2550.0,Super Built-up,17.0,North,Ready To Move,Adani M2K Oyster Grande,Flat,3.15,0,2.861428571428572,2.667326732673267
456,Sector 104,14801.0,3,3,3,1689.0,Super Built-up,0.0,East,Ready To Move,Hero Homes,Flat,2.5,0,2.0712244897959184,2.838395061728395
457,Sector 85,13851.0,4,4,4,2599.0,Carpet,0.0,Unknown,Ready To Move,Godrej Air,Flat,3.6,0,2.9188888888888886,2.713055555555556
458,Sector 104,14285.0,3,4,3,2450.0,Super Built-up,29.0,East,Ready To Move,Puri Emerald Bay,Flat,3.5,0,3.359166666666667,2.838395061728395
459,Sector 112,12595.0,3,4,3,2870.0,Super Built-up,16.0,Unknown,Ready To Move,Tata Gurgaon Gateway,Flat,3.62,0,3.09375,5.9
460,Sector 106,14985.0,3,3,3,2002.0,Super Built-up,6.0,Unknown,Ready To Move,Godrej Meridien,Flat,3.0,0,2.8880000000000003,2.6783018867924526
461,Sector 81,10542.0,3,2,3,1660.0,Super Built-up,10.0,Unknown,Ready To Move,Bestech Park View Ananda,Flat,1.75,0,1.875,3.7062857142857135
462,Sector 37D,12140.0,4,3,4,2191.0,Super Built-up,0.0,Unknown,Ready To Move,BPTP Terra,Flat,2.66,14,2.52,2.6355
463,Sector 82A,16061.0,3,3,3,1818.0,Super Built-up,32.0,North-East,Ready To Move,DLF The Primus,Flat,2.92,0,3.5392857142857146,3.481333333333333
464,Sector 90,11647.0,3,3,3,1760.0,Super Built-up,0.0,North-East,Ready To Move,DLF Regal Gardens,Flat,2.05,6,2.0866666666666664,2.261428571428572
465,Sector 85,14488.0,3,3,3,1829.0,Carpet,25.0,North,Ready To Move,Godrej Air,Flat,2.65,6,2.9188888888888886,2.713055555555556
466,Sohna,12033.0,2,2,2,1205.0,Super Built-up,0.0,Unknown,Ready To Move,Ashiana Anmol,Flat,1.45,0,1.553,2.1345454545454543
467,Sohna,9821.0,3,2,3,1120.0,Super Built-up,0.0,Unknown,Ready To Move,Signature Global Park,Flat,1.1,0,0.8988888888888888,2.1345454545454543
468,Sohna,11460.0,3,3,3,1527.0,Super Built-up,0.0,Unknown,Ready To Move,Ashiana Anmol,Flat,1.75,0,1.553,2.1345454545454543
469,Sohna,11656.0,3,3,3,1527.0,Super Built-up,8.0,East,Ready To Move,Ashiana Anmol,Flat,1.78,25,1.553,2.1345454545454543
470,Sector 65,18500.0,2,2,2,1516.0,Super Built-up,0.0,Unknown,Ready To Move,M3M Heights,Flat,2.8,0,3.0024,8.432784810126583
471,Sector 92,11779.0,3,4,3,1995.0,Super Built-up,19.0,North-East,Ready To Move,Bestech Park View Sanskruti,Flat,2.35,0,2.4725,2.1133333333333333
472,Sector 42,70312.0,4,4,4,6400.0,Super Built-up,0.0,East,Ready To Move,DLF The Magnolias,Flat,45.0,0,44.833333333333336,30.463636363636365
473,DLF Phase 5,32028.0,4,4,4,2810.0,Carpet,18.0,East,Ready To Move,DLF The Icon,Flat,9.0,0,8.5,6.720000000000001
474,Sector 108,19754.0,3,3,3,1711.0,Super Built-up,19.0,North-East,Ready To Move,Sobha City,Flat,3.38,0,4.504222222222222,4.32938775510204
475,Sector 65,33884.0,4,5,4,6050.0,Super Built-up,47.0,North-East,Ready To Move,Trump Tower,Flat,20.5,0,17.592857142857145,8.432784810126583
476,Sector 62,35181.0,4,5,4,4690.0,Super Built-up,16.0,East,Ready To Move,Pioneer Araya,Flat,16.5,0,17.3,7.19
477,Sector 36A,20218.0,3,4,3,2844.0,Super Built-up,15.0,North-East,Ready To Move,Max Estate 360,Flat,5.75,0,6.05,4.4023076923076925
478,Sector 66,20512.0,3,3,3,1950.0,Super Built-up,0.0,North-East,Ready To Move,Emaar MGF The Palm Drive,Flat,4.0,0,4.582413793103448,8.949036144578313
479,Sector 102,11851.0,3,4,3,2025.0,Super Built-up,14.0,North-East,Ready To Move,Emaar Imperial Gardens,Flat,2.4,6,2.443,2.667326732673267
480,Sector 30,28846.0,5,5,5,5200.0,Super Built-up,0.0,North-East,Ready To Move,Unitech The World Spa West,Flat,15.0,6,13.566666666666668,9.4375
481,Sector 56,13250.0,3,3,3,2000.0,Super Built-up,9.0,East,Ready To Move,Bhagwanti Apartment,Flat,2.65,6,2.65,4.152083333333334
482,Sector 70,13179.0,3,5,3,1950.0,Super Built-up,0.0,North-East,Ready To Move,Shree Vardhman Victoria,Flat,2.57,6,2.3045454545454542,2.246153846153846
483,Nirvana Country,16197.0,3,3,3,2130.0,Super Built-up,0.0,North-East,Ready To Move,The Close North,Flat,3.45,6,3.915714285714286,9.31625
484,Nirvana Country,16814.0,3,4,3,2480.0,Super Built-up,0.0,South,Ready To Move,The Close South,Flat,4.17,6,4.566666666666666,9.31625
485,Sector 61,17109.0,3,3,3,1695.0,Super Built-up,1.0,North-East,Ready To Move,Smart World Orchard,Flat,2.9,6,2.589,3.042666666666667
486,Sector 48,18018.0,3,3,3,1776.0,Super Built-up,0.0,East,Ready To Move,Bestech Park View City,Flat,3.2,6,3.6942857142857135,9.550147058823528
487,Sector 89,10575.0,3,3,3,1494.0,Built-up,2.0,East,Ready To Move,M3M Soulitude,Flat,1.58,0,1.59,1.7808695652173914
488,Sector 102,15263.0,4,4,4,2162.0,Super Built-up,26.0,North-East,Ready To Move,Shapoorji Pallonji Joyville Gurugram,Flat,3.3,0,2.4925,2.667326732673267
489,Sector 81,17238.0,3,4,3,2100.0,Super Built-up,30.0,Unknown,Ready To Move,DLF The Ultima,Flat,3.62,0,4.032666666666667,3.7062857142857135
490,Sector 37D,11974.0,4,3,4,2213.0,Super Built-up,23.0,North,Ready To Move,BPTP Terra,Flat,2.65,0,2.52,2.6355
491,Sector 104,14081.0,3,4,3,2450.0,Super Built-up,29.0,East,Ready To Move,Puri Emerald Bay,Flat,3.45,0,3.359166666666667,2.838395061728395
492,Sector 89,10895.0,3,3,3,1496.0,Super Built-up,0.0,Unknown,Ready To Move,Smart World Gems,Flat,1.63,0,1.5168181818181816,1.7808695652173914
493,Sector 102,12989.0,3,3,3,2579.0,Super Built-up,7.0,North-East,Ready To Move,Adani M2K Oyster Grande,Flat,3.35,6,2.861428571428572,2.667326732673267
494,Sector 108,19579.0,3,3,3,1711.0,Super Built-up,24.0,North-East,Ready To Move,Sobha City,Flat,3.35,0,4.504222222222222,4.32938775510204
495,Sector 68,13393.0,3,3,3,1650.0,Super Built-up,29.0,North,Ready To Move,M3M The Marina,Flat,2.21,6,2.06,1.7971428571428572
496,Sector 85,11212.0,3,4,3,2408.0,Super Built-up,12.0,North-East,Ready To Move,SS The Leaf,Flat,2.7,0,3.17,2.713055555555556
497,Sector 81,12939.0,4,6,4,3470.0,Super Built-up,29.0,North-East,Ready To Move,Bestech Park View Grand Spa,Flat,4.49,0,5.356,3.7062857142857135
498,Sector 89,10927.0,2,2,2,1208.0,Super Built-up,0.0,North,Ready To Move,Smart World Gems,Flat,1.32,0,1.5168181818181816,1.7808695652173914
499,Sector 57,14609.0,3,4,3,2293.0,Super Built-up,0.0,North,Ready To Move,BPTP Freedom Park Life,Flat,3.35,6,3.35,8.295333333333334
500,Sector 89,8534.0,3,3,3,1910.0,Super Built-up,14.0,Unknown,Ready To Move,Greenopolis,Flat,1.63,0,1.604,1.7808695652173914
501,Sector 90,10310.0,3,3,3,1930.0,Super Built-up,0.0,North-East,Ready To Move,DLF New Town Heights 1,Flat,1.99,6,2.309090909090909,2.261428571428572
502,Sector 82A,18477.0,4,4,4,2273.0,Built-up,32.0,Unknown,Ready To Move,DLF The Primus,Flat,4.2,0,3.5392857142857146,3.481333333333333
503,Sector 66,16666.0,4,5,4,2100.0,Super Built-up,0.0,North-East,Ready To Move,Emaar MGF Palm Terraces,Flat,3.5,6,4.0,8.949036144578313
504,Sector-33 Sohna,13821.0,3,2,3,1230.0,Super Built-up,4.0,Unknown,Ready To Move,Central Park Flower Valley Cerise Floors,Flat,1.7,0,1.7,6.4413829787234045
505,Sector 89,10887.0,2,2,2,1194.0,Built-up,3.0,East,Ready To Move,Smart World Gems,Flat,1.3,0,1.5168181818181816,1.7808695652173914
506,Sector 99,11875.0,4,4,4,3360.0,Super Built-up,0.0,East,Ready To Move,Vatika Sovereign Park,Flat,3.99,0,3.935263157894737,3.950277777777778
507,Sector 37D,8841.0,3,3,3,1640.0,Carpet,2.0,North-East,Ready To Move,Signature Global City,Flat,1.45,0,1.35,2.6355
508,Sohna,10067.0,2,2,2,745.0,Super Built-up,0.0,Unknown,Ready To Move,Signature Global Park,Flat,0.75,0,0.8988888888888888,2.1345454545454543
509,Sector 89,8272.0,3,3,3,1910.0,Super Built-up,14.0,East,Ready To Move,Greenopolis,Flat,1.58,0,1.604,1.7808695652173914
510,Sector 62,22542.0,2,2,2,1508.0,Super Built-up,32.0,West,Ready To Move,Emaar Digihomes,Flat,3.4,0,4.346153846153846,7.19
511,Sector 102,14437.0,4,4,4,2168.0,Built-up,26.0,East,Ready To Move,Shapoorji Pallonji Joyville Gurugram,Flat,3.13,0,2.4925,2.667326732673267
512,Sohna,12950.0,3,3,3,1081.0,Carpet,0.0,Unknown,Ready To Move,Signature Global Park,Flat,1.4,0,0.8988888888888888,2.1345454545454543
513,Sector 84,7692.0,3,3,3,2275.0,Super Built-up,0.0,Unknown,Ready To Move,Spaze Privy AT4,Flat,2.24,13,2.01,2.2295238095238097
514,Sector 65,27624.0,4,5,4,6335.0,Super Built-up,0.0,East,Ready To Move,M3M Golfestate,Flat,17.5,0,12.860499999999998,8.432784810126583
515,Sector 89,20909.0,3,3,3,2200.0,Super Built-up,35.0,North,Under Construction,Godrej Zenith,Flat,4.6,0,3.142857142857143,1.7808695652173914
516,Sector-33 Sohna,10469.0,2,2,2,1385.0,Carpet,0.0,East,Ready To Move,Godrej Nature Plus,Flat,1.45,0,1.81,6.4413829787234045
517,Sector 37C,10500.0,3,4,3,1820.0,Super Built-up,25.0,North-East,Ready To Move,ILD Grand,Flat,1.68,0,1.7599999999999998,1.740714285714286
518,Sector 84,9906.0,3,4,3,1918.0,Super Built-up,0.0,North-East,Ready To Move,Spaze Privy AT4,Flat,1.9,0,2.01,2.2295238095238097
519,Sector 89,8115.0,3,4,3,1910.0,Super Built-up,10.0,East,Ready To Move,Greenopolis,Flat,1.55,0,1.604,1.7808695652173914
520,Sector 93,9717.0,4,3,4,2727.0,Super Built-up,0.0,East,Ready To Move,Spaze Privvy The Address,Flat,2.65,6,2.1466666666666665,1.5699999999999998
521,Sector 49,18181.0,4,5,4,3300.0,Super Built-up,17.0,East,Ready To Move,Vatika City,Flat,6.0,6,3.985714285714285,4.587948717948718
522,Sector 48,26752.0,3,4,3,1869.0,Super Built-up,17.0,East,Ready To Move,Central Park Resorts,Flat,5.0,0,7.475,9.550147058823528
523,Sector 70,12820.0,3,4,3,1950.0,Super Built-up,0.0,East,Ready To Move,Shree Vardhman Victoria,Flat,2.5,36,2.3045454545454542,2.246153846153846
524,Sector 67,20209.0,2,2,2,1435.0,Super Built-up,0.0,Unknown,Ready To Move,Ireo Victory Valley,Flat,2.9,0,4.716923076923077,4.372857142857143
525,Sector 83,12500.0,3,3,3,1720.0,Super Built-up,0.0,East,Ready To Move,Emaar Palm Gardens,Flat,2.15,37,2.412631578947368,2.2664
526,Sector 102,14822.0,3,3,3,1889.0,Super Built-up,24.0,North-East,Ready To Move,Adani M2K Oyster Grande,Flat,2.8,0,2.861428571428572,2.667326732673267
527,Sector 102,15388.0,3,3,3,1852.0,Super Built-up,26.0,North-East,Ready To Move,Shapoorji Pallonji Joyville Gurugram,Flat,2.85,0,2.4925,2.667326732673267
528,Sector 102,15820.0,2,2,2,1359.0,Super Built-up,6.0,North-East,Ready To Move,Shapoorji Pallonji Joyville Gurugram,Flat,2.15,0,2.4925,2.667326732673267
529,Sector 60,20408.0,4,6,4,4900.0,Super Built-up,0.0,Unknown,Ready To Move,Ireo Skyon,Flat,9.49,0,4.565,4.679047619047619
530,Sector 104,12576.0,3,4,3,2290.0,Super Built-up,27.0,West,Ready To Move,ATS Triumph,Flat,2.88,0,3.817222222222222,2.838395061728395
531,Sector 85,10480.0,3,3,3,1475.0,Super Built-up,6.0,West,Ready To Move,Orris Carnation Residency,Flat,1.31,6,1.41,2.713055555555556
532,Sector 70A,18741.0,2,2,2,1414.0,Built-up,0.0,Unknown,Ready To Move,AIPL The Peaceful Homes,Flat,2.65,0,3.38,3.154516129032258
533,Sector 106,15834.0,3,3,3,2002.0,Super Built-up,34.0,Unknown,Ready To Move,Godrej Meridien,Flat,3.17,0,2.8880000000000003,2.6783018867924526
534,MG Road,40718.0,4,5,4,4175.0,Super Built-up,17.0,East,Ready To Move,Suncity Platinum Towers,Flat,17.0,0,12.55,12.55
535,Sector 108,19835.0,3,4,3,2072.0,Super Built-up,0.0,North-East,Ready To Move,Sobha City,Flat,4.11,0,4.504222222222222,4.32938775510204
536,Sector 65,36879.0,3,3,3,3525.0,Super Built-up,0.0,Unknown,Ready To Move,Trump Tower,Flat,13.0,30,17.592857142857145,8.432784810126583
537,sector 58,24515.0,3,4,3,2427.0,Super Built-up,29.0,East,Ready To Move,Ireo The Grand Arch,Flat,5.95,0,5.483333333333333,5.483333333333333
538,Sector 92,8344.0,2,2,2,1498.0,Super Built-up,0.0,Unknown,Ready To Move,Raheja Navodaya,Flat,1.25,0,1.6333333333333335,2.1133333333333333
539,Sector 102,13234.0,3,3,3,1889.0,Super Built-up,0.0,North-East,Ready To Move,Adani M2K Oyster Grande,Flat,2.5,0,2.861428571428572,2.667326732673267
540,Sector 49,16369.0,4,3,4,2016.0,Super Built-up,0.0,East,Ready To Move,AWHO Sispal Vihar,Flat,3.3,0,3.216666666666667,4.587948717948718
541,Sector 66,26511.0,4,4,4,2625.0,Super Built-up,15.0,East,Ready To Move,Emaar MGF The Palm Drive,Flat,5.7,0,4.582413793103448,8.949036144578313
542,Sector 102,14890.0,3,4,3,2149.0,Super Built-up,0.0,West,Ready To Move,Conscient Heritage Max,Flat,3.2,0,2.904,2.667326732673267
543,Sector 65,18599.0,3,3,3,1828.0,Super Built-up,47.0,Unknown,Ready To Move,M3M Heights,Flat,3.4,0,3.0024,8.432784810126583
544,Sector-33 Sohna,14812.0,3,3,3,1789.0,Super Built-up,0.0,Unknown,Ready To Move,Central Park Flower Valley Aqua Front Towers,Flat,2.65,0,4.16875,6.4413829787234045
545,Sector 106,15984.0,3,3,3,2002.0,Super Built-up,9.0,North-East,Ready To Move,Godrej Meridien,Flat,3.2,0,2.8880000000000003,2.6783018867924526
546,Sector 112,16952.0,3,3,3,2802.0,Super Built-up,28.0,East,Ready To Move,Experion Windchants,Flat,4.75,6,6.797999999999999,5.9
547,Sector 111,16517.0,4,4,4,2570.0,Carpet,22.0,Unknown,Under Construction,M3M Crown,Flat,4.24,38,4.626666666666666,5.433
548,Sector 106,20833.0,3,3,3,1367.0,Carpet,0.0,East,Ready To Move,Godrej Meridien,Flat,2.85,0,2.8880000000000003,2.6783018867924526
549,Sector 62,23205.0,2,2,2,1508.0,Super Built-up,21.0,East,Ready To Move,Emaar Digihomes,Flat,3.5,0,4.346153846153846,7.19
550,Sector 81,17590.0,3,4,3,2092.0,Super Built-up,8.0,North-East,Ready To Move,DLF The Ultima,Flat,3.68,6,4.032666666666667,3.7062857142857135
551,Sector 104,13913.0,3,3,3,1689.0,Super Built-up,0.0,East,Ready To Move,Hero Homes,Flat,2.35,0,2.0712244897959184,2.838395061728395
552,Sector 82A,16937.0,3,4,3,2096.0,Super Built-up,32.0,North-East,Ready To Move,DLF The Primus,Flat,3.55,6,3.5392857142857146,3.481333333333333
553,Sector 93,9026.0,3,4,3,2105.0,Super Built-up,0.0,North-East,Ready To Move,Spaze Privvy The Address,Flat,1.9,6,2.1466666666666665,1.5699999999999998
554,Sector 67A,19384.0,3,4,3,1852.0,Super Built-up,0.0,Unknown,Ready To Move,Ireo The Corridors,Flat,3.59,8,2.9253333333333336,2.973529411764705
555,Sector 60,18337.0,3,4,3,2045.0,Super Built-up,0.0,East,Ready To Move,Ireo Skyon,Flat,3.75,0,4.565,4.679047619047619
556,Sector 77,10537.0,3,3,3,1822.0,Super Built-up,17.0,North,Ready To Move,Umang Winter Hills,Flat,1.92,0,1.84,3.3463636363636367
557,Sector 99,9072.0,4,4,4,2425.0,Super Built-up,14.0,East,Ready To Move,Pareena Express Heights,Flat,2.2,0,2.2,3.950277777777778
558,Sector 92,12030.0,3,4,3,1995.0,Super Built-up,0.0,Unknown,Ready To Move,Bestech Park View Sanskruti,Flat,2.4,0,2.4725,2.1133333333333333
559,Sector 81,9306.0,2,2,2,1225.0,Super Built-up,0.0,Unknown,Ready To Move,Vipul Lavanya,Flat,1.14,31,1.3325,3.7062857142857135
560,Sector 104,14792.0,3,3,3,1690.0,Built-up,0.0,North,Ready To Move,Hero Homes,Flat,2.5,0,2.0712244897959184,2.838395061728395
561,Sector 104,14398.0,3,2,3,1389.0,Super Built-up,36.0,North-East,Ready To Move,Hero Homes,Flat,2.0,0,2.0712244897959184,2.838395061728395
562,Sector 104,15393.0,3,3,3,1689.0,Super Built-up,2.0,East,Ready To Move,Hero Homes,Flat,2.6,0,2.0712244897959184,2.838395061728395
563,Sector 49,19053.0,3,4,3,1669.0,Super Built-up,0.0,East,Ready To Move,Vatika City,Flat,3.18,6,3.985714285714285,4.587948717948718
564,Sector 106,22793.0,3,3,3,1360.0,Carpet,0.0,North-East,Ready To Move,Godrej Meridien,Flat,3.1,0,2.8880000000000003,2.6783018867924526
565,Sector 68,12832.0,2,2,2,865.0,Carpet,0.0,East,Ready To Move,Pareena Mi Casa,Flat,1.11,0,1.5716666666666663,1.7971428571428572
566,Sector 69,13615.0,3,3,3,1704.0,Super Built-up,0.0,East,Ready To Move,Tulip Yellow,Flat,2.32,6,2.283333333333333,3.0326829268292683
567,Sector 89,10885.0,2,2,2,1208.0,Built-up,2.0,North-East,Ready To Move,Smart World Gems,Flat,1.32,6,1.5168181818181816,1.7808695652173914
568,Sector 110,14264.0,4,5,4,3400.0,Super Built-up,15.0,North,Ready To Move,Indiabulls Enigma,Flat,4.85,0,5.0,4.583333333333333
569,Sector 62,23205.0,2,2,2,1508.0,Super Built-up,0.0,Unknown,Ready To Move,Emaar Digihomes,Flat,3.5,0,4.346153846153846,7.19
570,Sector 68,13939.0,3,3,3,1650.0,Super Built-up,20.0,East,Ready To Move,M3M The Marina,Flat,2.3,6,2.06,1.7971428571428572
571,Sector 68,12063.0,2,2,2,1260.0,Super Built-up,0.0,North-East,Ready To Move,M3M The Marina,Flat,1.52,6,2.06,1.7971428571428572
572,Sector 81,16713.0,4,4,4,2872.0,Super Built-up,0.0,North-East,Ready To Move,DLF The Ultima,Flat,4.8,6,4.032666666666667,3.7062857142857135
573,Sector 42,82352.0,4,5,4,6350.0,Super Built-up,16.0,Unknown,Ready To Move,DLF The Magnolias,Flat,42.0,0,44.833333333333336,30.463636363636365
574,Sector 82,10335.0,3,4,3,1790.0,Super Built-up,8.0,Unknown,Ready To Move,Mapsko Royale Ville,Flat,1.85,0,2.671111111111111,5.451621621621622
575,Sector-33 Sohna,13900.0,2,2,2,1151.0,Carpet,9.0,East,Under Construction,Godrej Nature Plus,Flat,1.6,6,1.81,6.4413829787234045
576,Sector 99,13013.0,3,3,3,2920.0,Super Built-up,0.0,East,Ready To Move,Vatika Sovereign Park,Flat,3.8,6,3.935263157894737,3.950277777777778
577,Sector 85,13851.0,4,4,4,2599.0,Carpet,0.0,North,Ready To Move,Godrej Air,Flat,3.6,6,2.9188888888888886,2.713055555555556
578,Sector 66,20000.0,3,3,3,1950.0,Super Built-up,0.0,North,Ready To Move,Emaar MGF The Palm Drive,Flat,3.9,0,4.582413793103448,8.949036144578313
579,Sector 67,18708.0,3,4,3,2400.0,Super Built-up,0.0,East,Ready To Move,M3M Merlin,Flat,4.49,0,4.672666666666667,4.372857142857143
580,Sector 89 A,17333.0,3,3,3,2085.0,Super Built-up,0.0,Unknown,Ready To Move,Vatika Seven Elements,Flat,2.34,23,2.536,2.81625
581,Sector 102,14657.0,3,4,3,2149.0,Super Built-up,15.0,East,Ready To Move,Conscient Heritage Max,Flat,3.15,6,2.904,2.667326732673267
582,Sector 70,12717.0,3,3,3,1950.0,Super Built-up,0.0,North-East,Ready To Move,Shree Vardhman Victoria,Flat,2.48,43,2.3045454545454542,2.246153846153846
583,Sector 81,11878.0,3,3,3,1810.0,Super Built-up,0.0,North,Ready To Move,Bestech Park View Ananda,Flat,2.15,6,1.875,3.7062857142857135
584,Sector 86,12026.0,3,3,3,1929.0,Super Built-up,0.0,North,Ready To Move,DLF The Skycourt,Flat,2.32,0,2.3316666666666666,2.555897435897436
585,Sohna,15178.0,2,2,2,1120.0,Built-up,0.0,North-East,Under Construction,Signature Global Daxin Vistas,Flat,1.7,0,1.7,2.1345454545454543
586,Sector 108,29292.0,3,4,3,2003.0,Super Built-up,0.0,North,Ready To Move,Sobha City,Flat,3.75,0,4.504222222222222,4.32938775510204
587,Sector 86,11460.0,4,4,4,2356.0,Super Built-up,0.0,Unknown,Ready To Move,DLF New Town Heights 2,Flat,2.7,0,2.936923076923077,2.555897435897436
588,Sector 71,11790.0,3,3,3,1620.0,Super Built-up,7.0,Unknown,Ready To Move,CHD Avenue 71,Flat,1.91,6,2.0,5.482307692307692
589,Sector 48,17454.0,3,3,3,1776.0,Super Built-up,2.0,East,Ready To Move,Bestech Park View City,Flat,3.1,0,3.6942857142857135,9.550147058823528
590,Sector 71,12854.0,2,2,2,1198.0,Super Built-up,6.0,North,Ready To Move,CHD Avenue 71,Flat,1.54,0,2.0,5.482307692307692
591,Sector 106,15363.0,3,3,3,1855.0,Built-up,0.0,East,Ready To Move,Godrej Meridien,Flat,2.85,0,2.8880000000000003,2.6783018867924526
