Unnamed: 0,property_name,per_sqft,bedroom,bathroom,configuration,area,area_type,floor_number,facing,age_possession,location,property_type,price_cr,Luxury_score,society_encoded,sector_encoded
34,Sector 79,16462.0,3,3,3,2120.0,Super Built-up,0.0,Unknown,Under Construction,"Godrej aria 101, tower H , suprema",Flat,3.49,28,3.49,2.543333333333333
35,Sector 65,18013.0,3,3,3,2054.0,Super Built-up,48.0,Unknown,Ready To Move,M3M Heights,Flat,3.7,0,3.0024,8.432784810126583
36,Sector 104,15918.0,3,3,3,2450.0,Super Built-up,0.0,Unknown,Ready To Move,Puri Emerald Bay,Flat,3.9,0,3.359166666666667,2.838395061728395
37,Sector 99,13309.0,3,3,3,2780.0,Super Built-up,12.0,Unknown,Ready To Move,Vatika Sovereign Park,Flat,3.7,0,3.935263157894737,3.950277777777778
38,Sector 65,17770.0,3,3,3,2054.0,Super Built-up,0.0,Unknown,Ready To Move,M3M Heights,Flat,3.65,0,3.0024,8.432784810126583
39,Sector 52,15000.0,4,5,4,3030.0,Super Built-up,6.0,Unknown,Ready To Move,CGHS Prithvi Apartments,Flat,4.5,7,4.5,5.501818181818181
40,Sector 70A,13959.0,2,2,2,680.0,Carpet,0.0,North-East,Ready To Move,Pyramid Fusion Homes,Flat,0.95,0,0.95,3.154516129032258
41,Sector 59,22875.0,3,4,3,2295.0,Super Built-up,25.0,Unknown,Ready To Move,Conscient Elevate,Flat,5.25,0,5.71157894736842,6.363809523809524
42,DLF Phase 5,27222.0,4,4,4,4500.0,Carpet,5.0,East,Ready To Move,DLF The Grove,Flat,12.25,0,10.416666666666666,6.720000000000001
43,Sector 66,19073.0,5,5,5,3670.0,Carpet,0.0,Unknown,Ready To Move,Emaar Mgf Palm Terraces Select,Flat,7.0,8,4.927272727272728,8.949036144578313
44,Nirvana Country,14429.0,2,2,2,1490.0,Super Built-up,0.0,Unknown,Ready To Move,Unitech Fresco,Flat,2.15,0,2.635,9.31625
45,Sector 86,10880.0,3,3,3,1930.0,Super Built-up,0.0,Unknown,Ready To Move,DLF New Town Heights 2,Flat,2.1,0,2.936923076923077,2.555897435897436
46,Sector 59,23699.0,3,3,3,2595.0,Super Built-up,34.0,Unknown,Ready To Move,Conscient Elevate,Flat,6.15,0,5.71157894736842,6.363809523809524
47,Sector 108,20270.0,3,4,3,2072.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,4.2,0,4.504222222222222,4.32938775510204
48,Sector 79,13882.0,3,3,3,2125.0,Super Built-up,0.0,Unknown,Under Construction,Godrej 101,Flat,2.95,0,2.6,2.543333333333333
49,Sector 60,20411.0,4,5,4,2800.0,Super Built-up,0.0,East,Ready To Move,Ireo Skyon,Flat,5.65,0,4.565,4.679047619047619
50,Sector 89,14328.0,3,4,3,2345.0,Super Built-up,0.0,Unknown,Under Construction,Godrej Zenith,Flat,3.36,0,3.142857142857143,1.7808695652173914
51,Sector 37D,16393.0,3,3,3,2623.0,Built-up,14.0,Unknown,Under Construction,Signature Global De Luxe DXP,Flat,4.3,0,4.078,2.6355
52,Sector 99,13781.0,3,4,3,2750.0,Super Built-up,2.0,Unknown,Ready To Move,Vatika Sovereign Park,Flat,3.79,0,3.935263157894737,3.950277777777778
53,Sector 81,18069.0,3,4,3,2103.0,Super Built-up,18.0,North-East,Ready To Move,DLF The Ultima,Flat,3.8,0,4.032666666666667,3.7062857142857135
54,Sector 99,13497.0,4,4,4,3360.0,Super Built-up,0.0,Unknown,Ready To Move,Vatika Sovereign Park,Flat,4.53,0,3.935263157894737,3.950277777777778
55,Sector 72,18627.0,3,4,3,2185.0,Super Built-up,1.0,North,Ready To Move,Tata Primanti,Flat,4.07,6,10.627407407407407,10.318928571428572
56,Sector 92,12500.0,3,3,3,1920.0,Carpet,0.0,Unknown,Ready To Move,Bestech Park View Sanskruti,Flat,2.4,0,2.4725,2.1133333333333333
57,Gwal Pahari,34937.0,4,5,4,3291.0,Carpet,2.0,North,Under Construction,Adani Lushlands,Flat,11.5,0,11.5,4.98
58,Sector 99,13489.0,3,3,3,2780.0,Super Built-up,0.0,East,Ready To Move,Vatika Sovereign Park,Flat,3.75,0,3.935263157894737,3.950277777777778
59,Sector 108,33729.0,3,4,3,2343.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,5.1,0,4.504222222222222,4.32938775510204
60,Sector 56,10925.0,3,4,3,2700.0,Super Built-up,9.0,North-East,Ready To Move,Kiran Residency,Flat,2.95,6,2.95,4.152083333333334
61,Sector 108,20347.0,2,2,2,1381.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,2.81,0,4.504222222222222,4.32938775510204
62,Nirvana Country,16016.0,3,3,3,1998.0,Super Built-up,19.0,East,Ready To Move,Unitech Escape,Flat,3.2,0,6.430000000000001,9.31625
63,Sector 88A,13418.0,3,2,3,1565.0,Super Built-up,0.0,Unknown,Under Construction,County The Center Court,Flat,2.1,0,2.1,2.35
64,Sector 99,13597.0,3,3,3,2780.0,Super Built-up,12.0,East,Ready To Move,Vatika Sovereign Park,Flat,3.78,6,3.935263157894737,3.950277777777778
65,Sector 70A,15581.0,3,3,3,2150.0,Super Built-up,0.0,West,Ready To Move,AIPL The Peaceful Homes,Flat,3.35,6,3.38,3.154516129032258
66,Sector 71,16631.0,3,3,3,2375.0,Super Built-up,45.0,Unknown,Under Construction,PYRAMID ALBAN,Flat,3.95,0,3.95,5.482307692307692
67,Sector 81,16380.0,4,4,4,2912.0,Super Built-up,0.0,Unknown,Ready To Move,DLF The Ultima,Flat,4.77,0,4.032666666666667,3.7062857142857135
68,Sector 81,17351.0,3,4,3,2092.0,Super Built-up,0.0,Unknown,Ready To Move,DLF The Ultima,Flat,3.63,0,4.032666666666667,3.7062857142857135
69,Sector 92,8851.0,4,3,4,2090.0,Super Built-up,0.0,Unknown,Ready To Move,Sare Homes,Flat,1.85,8,1.6861111111111111,2.1133333333333333
70,Sector 59,23389.0,3,3,3,2095.0,Super Built-up,0.0,East,Ready To Move,Conscient Elevate,Flat,4.9,0,5.71157894736842,6.363809523809524
71,Sector 108,20785.0,4,4,4,2343.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,5.15,0,4.504222222222222,4.32938775510204
72,Sector 89,17209.0,2,2,2,1075.0,Built-up,25.0,Unknown,Under Construction,Godrej Zenith,Flat,1.85,7,3.142857142857143,1.7808695652173914
73,Sector 109,17685.0,3,3,3,1750.0,Super Built-up,0.0,Unknown,Ready To Move,ATS Tourmaline,Flat,2.14,0,4.244285714285715,9.683529411764706
74,Sector 107,11734.0,2,2,2,1534.0,Built-up,12.0,East,Ready To Move,M3M Woodshire,Flat,1.8,0,1.655,1.655
75,Sector 61,15000.0,3,3,3,1680.0,Super Built-up,2.0,North-East,Ready To Move,Smart World Orchard,Flat,2.52,6,2.589,3.042666666666667
76,Sector 36A,21800.0,3,3,3,2844.0,Super Built-up,0.0,Unknown,Under Construction,Max Estate 360,Flat,6.2,0,6.05,4.4023076923076925
77,Sector 112,15200.0,3,3,3,3763.0,Super Built-up,0.0,Unknown,Ready To Move,Experion Windchants,Flat,5.72,0,6.797999999999999,5.9
78,Sector 108,31089.0,3,4,3,2003.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,3.98,0,4.504222222222222,4.32938775510204
79,Nirvana Country,14224.0,3,4,3,1877.0,Super Built-up,19.0,Unknown,Ready To Move,Unitech Fresco,Flat,2.67,0,2.635,9.31625
80,Sector 81,16873.0,3,4,3,2092.0,Super Built-up,0.0,North,Ready To Move,DLF The Ultima,Flat,3.53,0,4.032666666666667,3.7062857142857135
81,Sector 102,13831.0,3,3,3,1699.0,Carpet,24.0,Unknown,Ready To Move,Adani M2K Oyster Grande,Flat,2.35,0,2.861428571428572,2.667326732673267
82,Sector 77,17326.0,3,3,3,2020.0,Carpet,0.0,Unknown,Ready To Move,Emaar Palm Premier,Flat,3.5,8,3.5,3.3463636363636367
83,Sector 108,20270.0,3,3,3,2072.0,Super Built-up,0.0,East,Ready To Move,Sobha City,Flat,4.2,6,4.504222222222222,4.32938775510204
84,Sector 106,15633.0,3,3,3,1855.0,Super Built-up,6.0,North-East,Ready To Move,Godrej Meridien,Flat,2.9,0,2.8880000000000003,2.6783018867924526
85,Sector 63,30669.0,4,4,4,2315.0,Carpet,0.0,East,Ready To Move,Adani Brahma Samsara Vilasa,Flat,7.1,0,11.05,8.92
86,Sector 86,11658.0,3,3,3,1930.0,Super Built-up,0.0,Unknown,Ready To Move,DLF New Town Heights 2,Flat,2.25,0,2.936923076923077,2.555897435897436
87,Sector 81,17590.0,3,4,3,2092.0,Super Built-up,0.0,North,Ready To Move,DLF The Ultima,Flat,3.68,9,4.032666666666667,3.7062857142857135
88,Sector 86,14864.0,3,2,3,1480.0,Super Built-up,0.0,East,Ready To Move,Microtek Greenburg,Flat,2.2,9,3.4875,2.555897435897436
89,Sector 82A,15119.0,3,3,3,1799.0,Super Built-up,0.0,Unknown,Ready To Move,DLF The Primus,Flat,2.72,23,3.5392857142857146,3.481333333333333
90,Sector 67,19808.0,4,4,4,3130.0,Super Built-up,11.0,East,Ready To Move,Ireo Victory Valley,Flat,6.2,0,4.716923076923077,4.372857142857143
91,sector 58,28448.0,4,5,4,2900.0,Super Built-up,21.0,East,Ready To Move,Ireo The Grand Arch,Flat,8.25,0,5.483333333333333,5.483333333333333
92,Sector 67,14987.0,3,4,3,1935.0,Super Built-up,14.0,Unknown,Ready To Move,Bestech Park View Spa Next,Flat,2.9,0,3.270833333333333,4.372857142857143
93,Sector 60,30944.0,2,3,2,1524.0,Super Built-up,0.0,Unknown,Ready To Move,Ireo Skyon,Flat,2.85,0,4.565,4.679047619047619
94,Sector 88A,12605.0,3,4,3,2142.0,Super Built-up,3.0,North-East,Ready To Move,Godrej Icon,Flat,2.75,14,2.475,2.35
95,Sector 103,18992.0,3,4,3,2243.0,Super Built-up,0.0,Unknown,Under Construction,Godrej Vrikshya,Flat,4.26,14,4.23,3.9275
96,Sector 76,15049.0,3,3,3,1628.0,Super Built-up,0.0,Unknown,Under Construction,Whiteland Blissville,Flat,2.45,0,2.45,1.0922222222222222
97,Sector 65,18337.0,2,2,2,1516.0,Super Built-up,0.0,Unknown,Ready To Move,M3M Heights,Flat,2.78,0,3.0024,8.432784810126583
98,Sector 66,16597.0,4,5,4,2410.0,Super Built-up,0.0,East,Ready To Move,Emaar Mgf Palm Terraces Select,Flat,4.0,0,4.927272727272728,8.949036144578313
99,Sector 92,12264.0,3,4,3,2120.0,Super Built-up,0.0,Unknown,Ready To Move,Bestech Park View Sanskruti,Flat,2.6,0,2.4725,2.1133333333333333
100,Gwal Pahari,12307.0,3,3,3,1430.0,Carpet,0.0,North,Ready To Move,Suncity Vatsal Valley,Flat,1.76,0,1.668,4.98
101,Sector 81,17142.0,3,3,3,2100.0,Super Built-up,10.0,North-East,Ready To Move,DLF The Ultima,Flat,3.6,6,4.032666666666667,3.7062857142857135
102,Sector 67,20372.0,4,5,4,2847.0,Super Built-up,3.0,East,Ready To Move,Ireo Victory Valley,Flat,5.8,0,4.716923076923077,4.372857142857143
103,Sector 85,13809.0,3,4,3,2129.0,Carpet,0.0,Unknown,Ready To Move,Godrej Air,Flat,2.94,0,2.9188888888888886,2.713055555555556
104,Sector 109,12063.0,4,5,4,3150.0,Super Built-up,0.0,Unknown,Ready To Move,ATS Tourmaline,Flat,3.8,0,4.244285714285715,9.683529411764706
105,Sector 102,19541.0,3,4,3,2000.0,Super Built-up,0.0,North-East,Ready To Move,Emaar Imperial Gardens,Flat,2.4,6,2.443,2.667326732673267
106,Sector 69,17910.0,4,4,4,2010.0,Super Built-up,10.0,Unknown,Ready To Move,Tulip Violet,Flat,3.6,13,2.556666666666666,3.0326829268292683
107,Sector 66,18421.0,4,5,4,3800.0,Super Built-up,7.0,East,Ready To Move,Emaar MGF The Palm Drive,Flat,7.0,0,4.582413793103448,8.949036144578313
108,Sector 67,19985.0,4,4,4,2847.0,Super Built-up,0.0,East,Ready To Move,Ireo Victory Valley,Flat,5.69,0,4.716923076923077,4.372857142857143
109,Sector 47,9700.0,4,4,4,3000.0,Built-up,0.0,Unknown,Ready To Move,Pragati hills CGHS society,Flat,2.91,13,2.91,6.4425
110,Sector 89,29114.0,3,3,3,2529.0,Super Built-up,0.0,Unknown,Under Construction,Godrej Zenith,Flat,3.98,6,3.142857142857143,1.7808695652173914
111,Sector 112,15360.0,3,3,3,3763.0,Super Built-up,0.0,Unknown,Ready To Move,Experion Windchants,Flat,5.78,0,6.797999999999999,5.9
112,Sector 108,31490.0,3,3,3,1711.0,Super Built-up,18.0,Unknown,Ready To Move,Sobha City,Flat,3.5,0,4.504222222222222,4.32938775510204
113,Sector 56,17948.0,4,4,4,1950.0,Super Built-up,7.0,North,Ready To Move,AWHO Devinder Vihar,Flat,3.5,0,2.833333333333333,4.152083333333334
114,Sector 66,17012.0,4,5,4,2410.0,Super Built-up,0.0,North-East,Ready To Move,Emaar Mgf Palm Terraces Select,Flat,4.1,6,4.927272727272728,8.949036144578313
