,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
56,Sector 92,3,3,3,1920.0,Carpet,Unknown,Ready To Move,Flat,2.4,2.1133333333333333,Low,Low Floor
57,Gwal Pahari,4,5,4,3291.0,Carpet,North,Under Construction,Flat,11.5,4.98,Low,Low Floor
58,Sector 99,3,3,3,2780.0,Super Built-up,East,Ready To Move,Flat,3.75,3.950277777777778,Low,Low Floor
59,Sector 108,3,4,3,2343.0,Super Built-up,Unknown,Ready To Move,Flat,5.1,4.32938775510204,Low,Low Floor
60,Sector 56,3,4,3,2700.0,Super Built-up,North-East,Ready To Move,Flat,2.95,4.152083333333334,Low,Mid Floor
61,Sector 108,2,2,2,1381.0,Super Built-up,Unknown,Ready To Move,Flat,2.81,4.32938775510204,Low,Low Floor
62,Nirvana Country,3,3,3,1998.0,Super Built-up,East,Ready To Move,Flat,3.2,9.31625,Low,High Floor
63,Sector 88A,3,2,3,1565.0,Super Built-up,Unknown,Under Construction,Flat,2.1,2.35,Low,Low Floor
64,Sector 99,3,3,3,2780.0,Super Built-up,East,Ready To Move,Flat,3.78,3.950277777777778,Low,High Floor
65,Sector 70A,3,3,3,2150.0,Super Built-up,West,Ready To Move,Flat,3.35,3.154516129032258,Low,Low Floor
66,Sector 71,3,3,3,2375.0,Super Built-up,Unknown,Under Construction,Flat,3.95,5.482307692307692,Low,High Floor
67,Sector 81,4,4,4,2912.0,Super Built-up,Unknown,Ready To Move,Flat,4.77,3.7062857142857135,Low,Low Floor
68,Sector 81,3,4,3,2092.0,Super Built-up,Unknown,Ready To Move,Flat,3.63,3.7062857142857135,Low,Low Floor
69,Sector 92,4,3,4,2090.0,Super Built-up,Unknown,Ready To Move,Flat,1.85,2.1133333333333333,Low,Low Floor
70,Sector 59,3,3,3,2095.0,Super Built-up,East,Ready To Move,Flat,4.9,6.363809523809524,Low,Low Floor
71,Sector 108,4,4,4,2343.0,Super Built-up,Unknown,Ready To Move,Flat,5.15,4.32938775510204,Low,Low Floor
72,Sector 89,2,2,2,1075.0,Built-up,Unknown,Under Construction,Flat,1.85,1.7808695652173914,Low,High Floor
