,Unnamed: 0.1,Unnamed: 0,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_id,rating,reviews,link
465,634.0,1001.0,Individual,"3 BHK Flat in Sector 85, Gurgaon","3 BHK Flat in Sector 85, Gurgaon",₹2.65 Cr,"₹14,488 /sqft",3.0,3.0,3 BHK,1829.0,"1,829 sqft",Carpet,25 floor,North,Ready To Move,,3.0,,Garden,"This residential flat is north-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a carpet area of 1829 sq.Ft. The flat has a total of 25 floors and this property is situated on 16th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is a...",Godrej Air,Godrej Air,North Facing Private Garden,,,,
466,635.0,1002.0,Individual,"2 BHK Flat in Sohna, Gurgaon","2 BHK Flat in Sohna, Gurgaon",₹1.45 Cr,"₹12,033 /sqft",2.0,2.0,2 BHK,1205.0,"1,205 sqft",Super Built-up,,,Ready To Move,,,,,"2 bhk ,fresh construction, premium property.",Ashiana Anmol,Ashiana Anmol,,,,,
467,636.0,1003.0,Individual,"3 BHK Flat in Sohna, Gurgaon","3 BHK Flat in Sohna, Gurgaon",₹1.1 Cr,"₹9,821 /sqft",3.0,2.0,3 BHK,1120.0,"1,120 sqft",Super Built-up,,,Ready To Move,,,,,,Signature Global Park,Signature Global Park,,,,,
468,637.0,1004.0,Individual,"3 BHK Flat in Sohna, Gurgaon","3 BHK Flat in Sohna, Gurgaon",₹1.75 Cr,"₹11,460 /sqft",3.0,3.0,3 BHK,1527.0,"1,527 sqft",Super Built-up,,,Ready To Move,,,,,,Ashiana Anmol,Ashiana Anmol,,,,,
469,638.0,1005.0,Individual,"3 BHK Flat in Sohna, Gurgaon","3 BHK Flat in Sohna, Gurgaon",₹1.78 Cr,"₹11,656 /sqft",3.0,3.0,3 BHK,1527.0,"1,527 sqft",Super Built-up,8th floor,East,Ready To Move,,2.0,,"Swimming Pool, Gym, Club House","This residential flat is north-East-Facing direction. The flat occupies a super built up area of 1527 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 8th floor of this 14 floors tall residential building. This is a ready to move project and the property is 0-1 year old. All the modern amenities such as swimming pool, fitness centre / gym, club house...",Ashiana Anmol,Ashiana Anmol,,,,,
470,639.0,1006.0,Individual,"2 BHK Flat in Sector 65, Gurgaon","2 BHK Flat in Sector 65, Gurgaon",₹2.8 Cr,"₹18,500 /sqft",2.0,2.0,2 BHK,1516.0,"1,516 sqft",Super Built-up,,,Ready To Move,,3.0,,,"This 2 bhk flat is located in m3m heights, which houses some of the most spacious flats in sector 65 gurgaon. The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 3 balconies",M3M Heights,M3M Heights,,,,,
471,640.0,1007.0,Individual,"3 BHK Flat in Sector 92, Gurgaon","3 BHK Flat in Sector 92, Gurgaon",₹2.35 Cr,"₹11,779 /sqft",3.0,4.0,3 BHK,1995.0,"1,995 sqft",Super Built-up,19 floor,North-East,Ready To Move,,3.0,,,"This 3 bhk apartment is available for sale in bestech park view sanskruti, one of the most prominent projects for flats in sector 92 gurgaon. This property faces the north-East direction. The flat occupies a super built up area of 1995 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and 3 balconies. The flat has a total of 19 floors and this property is situated on 10th floor. This is a ready t...",Bestech Park View Sanskruti,Bestech Park View Sanskruti,North-East Facing RPS school Nearby,,,,
472,641.0,1008.0,Individual,"4 BHK Flat in Sector 42, Gurgaon","4 BHK Flat in Sector 42, Gurgaon",₹45 Cr,"₹70,312 /sqft",4.0,4.0,4 BHK,6400.0,"6,400 sqft",Super Built-up,,East,Ready To Move,,3.0,,,"Located in the popular residential address of sector 42 gurgaon, dlf the magnolias is one of the most preferred destination for apartments in gurgaon. This 4 bhk flat is your ticket to be a part of this community. The flat is facing the east direction. Constructed on a super built up area of 6400 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. The property is loc...",DLF The Magnolias,DLF The Magnolias,East Facing Gated Society,,,,
473,642.0,1009.0,Individual,"4 BHK Flat in DLF Phase 5, Gurgaon","4 BHK Flat in DLF Phase 5, Gurgaon",₹9 Cr,"₹32,028 /sqft",4.0,4.0,4 BHK,2810.0,"2,810 sqft",Carpet,18 floor,East,Ready To Move,,3.0,,,"Dlf the icon is one of the most popular destination for buying apartments/ flats in dlf phase 5, gurgaon. You too can be a part of this society by purchasing this 4 bhk flat here. The flat is north-East-Facing. The flat occupies a super built up area of 2810 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. The residential building has 18 floors in total and the flat for sale is ...",DLF The Icon,DLF The Icon,East Facing Gated Society,,,,
474,643.0,1010.0,Individual,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹3.38 Cr,"₹19,754 /sqft",3.0,3.0,3 BHK,1711.0,"1,711 sqft",Super Built-up,19 floor,North-East,Ready To Move,,2.0,,,"This 3 bhk flat is located in sobha city, which houses some of the most spacious flats in sector 108 gurgaon. This is a north-East-Facing property. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1711 sq.Ft. The flat has a total of 19 floors and this property is situated on 2nd floor. Being a ready to move project, you can expect immediate...",Sobha City,Sobha City,North-East Facing DPS SCHOOL Nearby,,,,
