,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location
1545,Individual,"3 BHK Flat in Sector 65, Gurgaon","3 BHK Flat in Sector 65, Gurgaon",₹3.5 Cr,"₹19,146 /sqft",3.0,3.0,3 BHK,1828.0,"1,828 sqft",Super Built-up,,East,Ready To Move,,,,,3bhk flat for sale in m3m skycity/height with complete wood work with modular kitchen. It's located on middle floor with open view. It's brand new property with all fitting get done. Key in hand call for site visit and any other information,M3M Skycity,M3M Skycity,East Facing Newly Constructed
1546,Individual,"3 BHK Flat in Sector 60, Gurgaon","3 BHK Flat in Sector 60, Gurgaon",₹4.2 Cr,"₹23,333 /sqft",3.0,4.0,3 BHK,2045.0,"2,045 sqft",Super Built-up,6th floor,North-East,Ready To Move,,3.0,,,"This 3 bhk plus servent quarter flat is located in ireo skyon, which houses some of the most spacious flats in sector 60 gurgaon. The flat is facing the north-East direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2045 sq.Ft. This flat is situated on the 6th floor of this 12 floors ta...",Ireo Skyon,Ireo Skyon,North-East Facing RAPID METRO SECTOR 56 GURGAON within 1km
1547,Individual,"4 BHK Flat in Sector 66, Gurgaon","4 BHK Flat in Sector 66, Gurgaon",₹3.6 Cr,"₹18,000 /sqft",4.0,5.0,4 BHK,2415.0,"2,415 sqft",Super Built-up,4th floor,East,Ready To Move,,3.0,,,"Check out this 4 bhk apartment for sale in emaar mgf the enclave, a popular residential project that houses in-Demand flats in sector 66 gurgaon. This residential flat is south-East-Facing direction. The flat occupies a super built up area of 2415 sq.Ft. That consists of 4 bedrooms, 5 bathrooms and 3 balconies. This flat is situated on the 4th floor of this 16 floors tall residential building. ...",Emaar MGF The Enclave,Emaar MGF The Enclave,
1548,Individual,"3 BHK Flat in Sector 109, Gurgaon","3 BHK Flat in Sector 109, Gurgaon",₹3.15 Cr,"₹12,185 /sqft",3.0,4.0,3 BHK,2585.0,"2,585 sqft",Super Built-up,27 floor,North-East,Ready To Move,,3.0,,,"This 3 bhk apartment is available for sale in ats tourmaline, one of the most prominent projects for flats in sector 109 gurgaon. The flat is north-East-Facing. Constructed on a super built up area of 2585 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more than 3 balconies. The flat has a total of 27 floors and this property is situated on 16th floor. As the project is already ready ...",ATS Tourmaline,ATS Tourmaline,North-East Facing Gated Society
1549,Individual,"2 BHK Flat in Sector 89, Gurgaon","2 BHK Flat in Sector 89, Gurgaon",₹75 Lac,"₹11,194 /sqft",2.0,2.0,2 BHK,670.0,670 sqft,Built-up,,,Ready To Move,,,,"Security, CCTV, Play Area, Jogging Track","Signature global proxima is an affordable housing project located in sector 89, gurgaon, near dwarka expressway and pataudi road. The project spans 10 acres and 2bhk apartments under the huda affordable housing policy 2013. It is igbc green gold certified, emphasizing eco-Friendly living. Key features: Amenities: Includes a jogging track, gated security, retail shops, kids' play area, cctv surv...",Signature Global Proxima,Signature Global Proxima,
1550,Individual,"3 BHK Flat in Sector 3, Gurgaon","3 BHK Flat in Sector 3, Gurgaon",₹2 Cr,"₹9,633 /sqft",3.0,3.0,3 BHK,2078.0,"2,078 sqft",Super Built-up,,North,Ready To Move,Semi Furnished,,,,3bhk semi furnished appartment for sale in godrej habitat at very good price. Location of the project is very good.,Godrej Habitat,Godrej Habitat,North Facing Gated Society
1551,Individual,"3 BHK Flat in Sector 84, Gurgaon","3 BHK Flat in Sector 84, Gurgaon",₹1.93 Cr,"₹10,211 /sqft",3.0,3.0,3 BHK,1890.0,"1,890 sqft",Super Built-up,4th floor,,Ready To Move,,3.0,,,"This 3 bhk flat is located in ss the coralwood, which houses some of the most spacious flats in sector 84 gurgaon. This is a west-Facing property. Constructed on a super built up area of 1890 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat is situated on the 4th floor of this 21 floors tall residential building. An added advantage of this 1-5 years old ...",SS The Coralwood,SS The Coralwood,
1552,Individual,"3 BHK Flat in Sector 37D, Gurgaon","3 BHK Flat in Sector 37D, Gurgaon",₹2.26 Cr,"₹12,500 /sqft",3.0,3.0,3 BHK,1811.0,"1,811 sqft",Super Built-up,,,Ready To Move,,,,Garden,"Bptp terra in sector 37d, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and 4bhk apartments available in this project. This housing society is now ready to be called home as families have started moving in. ...",BPTP Terra,BPTP Terra,Private Garden Newly Constructed
1553,Individual,"2 BHK Flat in Sector 112, Gurgaon","2 BHK Flat in Sector 112, Gurgaon",₹2.2 Cr,"₹13,924 /sqft",2.0,2.0,2 BHK,1580.0,"1,580 sqft",Super Built-up,24 floor,North-East,Ready To Move,,2.0,,,"This beautiful 2 bhk flat in sector 112 gurgaon is situated in tata gurgaon gateway, one of the popular residential society in gurgaon. This residential flat is north-East-Facing direction. Constructed on a super built up area of 1580 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 24 floors and this property is situated on 7th floor. As the project...",Tata Gurgaon Gateway,Tata Gurgaon Gateway,North-East Facing Gated Society
1554,Individual,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.35 Cr,"₹13,913 /sqft",3.0,3.0,3 BHK,1689.0,"1,689 sqft",Super Built-up,24 floor,East,Ready To Move,,3.0,,,"This 3 bhk flat is located in adani m2k oyster grande, which houses some of the most spacious flats in sector 102 gurgaon. The flat is facing the east direction. The flat is over 1689 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. The residential building has 24 floors in total and the flat for sale is located on the 11th floor. This 1-5 years old...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,East Facing DPS School Nearby
