,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location
0,Individual,"2 BHK Flat in Sector 104, Gurgaon","2 BHK Flat in Sector 104, Gurgaon",₹1.62 Cr,"₹14,740 /sqft",2.0,2.0,2 BHK,1099.0,"1,099 sqft",Super Built-up,26 floor,North-East,Ready To Move,,2.0,,Garden,"This 2 bhk flat is located in hero homes, which houses some of the most spacious flats in sector 104 gurgaon. This property faces the north-East direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1099 sq.Ft. The flat has a total of 26 floors and this property is situated on 11th floor. As the pr...",Hero Homes,Hero Homes,North-East Facing Private Garden
1,Individual,"4 BHK Flat in Sector 37C, Gurgaon","4 BHK Flat in Sector 37C, Gurgaon",₹1.67 Cr,"₹9,010 /sqft",4.0,4.0,4 BHK,1848.0,"1,848 sqft",Super Built-up,,West,Ready To Move,,3.0,,,"Check out this 4 bhk apartment for sale in piedmont taksila heights, a popular residential project that houses in-Demand flats in sector 37c gurgaon. This is a north-West-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1848 sq.Ft. This flat lies on the 10th level of a 15 storey building. Being a ready to move pro...",Piedmont Taksila heights,Piedmont Taksila heights,"Alipne, Euro, Suncity...... Nearby Park Hospital Nearby"
3,Project,"3, 4 BHK Flat in Sector 109, Gurgaon","3, 4 BHK Flat in Sector 109, Gurgaon",₹4.97 Cr,,4.0,,4 BHK,2925.0,"2,925 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 109, now available for sale at Chintels Serenity. This society offers apartments in the price range of Rs. 3.13 - 4.97 Cr. Chintels Serenity is a RERA- registered society and 125 OF 2017 DATED 28.08.2017 is the RERA registration number. Chintels Serenity apartments are available in multiples sizes, ranging from 1,955 - 2,925 sqft SUPER area",,,Nearby : Dwarka Expressway Gurgaon Railway Station
4,Project,"4 BHK Flat in Sector 70, Gurgaon","4 BHK Flat in Sector 70, Gurgaon",₹5.56 Cr,,4.0,,4 BHK,1858.0,"1,858 sqft",,,,,,,,,"Beautiful 4 BHK apartments in Sector 70, are now available in Tulip Crimson housing project. This society is RERA approved and GGM/834/566/2024/61 DATED 12.08.2024 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 5.56 Cr. Tulip Crimson has apartments in multiple configurations, in range of 1,858 sqft",,,Nearby : The Vivekananda School Dwarka Expressway
5,Project,"5 BHK Flat in Sector 70, Gurgaon","5 BHK Flat in Sector 70, Gurgaon",₹5.14 Cr,,5.0,,5 BHK,2459.0,"2,459 sqft",,,,,,,,,"Looking for your dream home? Explore 5 BHK apartments in Sector 70, now available in Tulip Melrose. Tulip Melrose is a RERA- registered society and GGM/1007/739/2025/110 DATED 07.11.2025 is the RERA registration number. Here units have different sizes, mostly in range of 2,459 sqft CARPET area. Prices of apartments in this project, vary between Rs. 5.14 Cr",,,"Nearby : Shri Ram School, Sector 70 Omaxe City Centre"
8,Project,"3, 4, 5 BHK Flat in Sector 22, Gurgaon","3, 4, 5 BHK Flat in Sector 22, Gurgaon",₹21.73 Cr,,5.0,,5 BHK,10105.0,"10,105 sqft",,,,,,,,,"Beautiful 3,4,5 BHK apartments in Sector 22, are now available in Ambience Creacions housing project. This society is RERA approved and 318 OF 2017 DATED 17.10.2017 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 5.98 - 21.73 Cr. Ambience Creacions apartments are available in multiples sizes, ranging from 2,781 - 10,105 sqft SUPER area",,,Nearby : Hyatt Place Old Delhi Gurgaon Road
15,Project,"3, 4, 5 BHK Flat in Sector 53, Gurgaon","3, 4, 5 BHK Flat in Sector 53, Gurgaon",₹14.73 Cr,,4.0,,4 BHK,2822.0,"2,822 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 53, now available in Tulip Monsella. This society offers apartments in the price range of Rs. 11.49 - 18.01 Cr. Apartments in Tulip Monsella have CARPET area ranging between 1,638 - 2,822 sqft. Tulip Monsella 's RERA registration number is GGM/554/286/2022/29DATED25.04.2022",,,Nearby : Mavens Inn Sanar International Hospital
16,Project,"3, 4, 5 BHK Flat in Sector 53, Gurgaon","3, 4, 5 BHK Flat in Sector 53, Gurgaon",₹18.01 Cr,,5.0,,5 BHK,2822.0,"2,822 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 53, now available in Tulip Monsella. This society offers apartments in the price range of Rs. 11.49 - 18.01 Cr. Apartments in Tulip Monsella have CARPET area ranging between 1,638 - 2,822 sqft. Tulip Monsella 's RERA registration number is GGM/554/286/2022/29DATED25.04.2022",,,Nearby : Mavens Inn Sanar International Hospital
19,Project,"4 BHK Flat in Sector 63, Gurgaon","4 BHK Flat in Sector 63, Gurgaon",₹8.49 Cr,,4.0,,4 BHK,3950.0,"3,950 sqft",,,,,,,,,"Finest 4 BHK apartments in Sector 63 available for sale in DLF The Arbour. Apartment prices in this housing society vary in the range of Rs. 8.49 Cr. DLF The Arbour has apartments in multiple configurations, in range of 3,950 sqft. DLF The Arbour 's RERA registration number is GGM/671/403/2023/15 DATED 23.01.2023",,,Nearby : AIPL Business Club Hilton Hotel Gurugram
31,Project,"2, 3, 4 BHK Flat in Sector 103, Gurgaon","2, 3, 4 BHK Flat in Sector 103, Gurgaon",₹4.56 Cr,,4.0,,4 BHK,2401.0,"2,401 sqft",,,,,,,,,"Check out 2,3,4 BHK apartments in Sector 103, now available for sale at Riviera At AIPL Lakecity. Riviera At AIPL Lakecity is a RERA- registered society and GGM/1019/751/2025/122 DATED 08.12.2025 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.88 - 4.56 Cr. Apartments in Riviera At AIPL Lakecity have CARPET area ranging between 1,518 - 2,401 sqft",,,Nearby : Neo Centra Mall Delhi Public School
36,Project,"3, 4, 5 BHK Flat in Sector 104, Gurgaon","3, 4, 5 BHK Flat in Sector 104, Gurgaon",₹4.32 Cr,,4.0,,4 BHK,2250.0,"2,250 sqft",,,,,,,,,"Beautiful 3,4,5 BHK apartments in Sector 104, are now available in Satya Levante Residences housing project. This society offers apartments in the price range of Rs. 3.54 - 5.63 Cr. Apartments in Satya Levante Residences have CARPET area ranging between 1,470 - 2,250 sqft. Satya Levante Residences is a RERA- registered society and GGM/1000/732/2025/103 DATED 16.10.2025 is the RERA registration num",,,Nearby : IGI Airport Gurgaon Railway Station
37,Project,"3, 4, 5 BHK Flat in Sector 104, Gurgaon","3, 4, 5 BHK Flat in Sector 104, Gurgaon",₹5.63 Cr,,5.0,,5 BHK,2250.0,"2,250 sqft",,,,,,,,,"Beautiful 3,4,5 BHK apartments in Sector 104, are now available in Satya Levante Residences housing project. This society offers apartments in the price range of Rs. 3.54 - 5.63 Cr. Apartments in Satya Levante Residences have CARPET area ranging between 1,470 - 2,250 sqft. Satya Levante Residences is a RERA- registered society and GGM/1000/732/2025/103 DATED 16.10.2025 is the RERA registration num",,,Nearby : IGI Airport Gurgaon Railway Station
39,Project,"3, 4 BHK Flat in Sector 80, Gurgaon","3, 4 BHK Flat in Sector 80, Gurgaon",₹4.08 Cr,,4.0,,4 BHK,1521.0,"1,521 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 80 available for sale in Ashiana Aaroham. This society is RERA approved and GGM/1014/746/2025/117 DATED 25.11.2025 is the RERA number. This society offers apartments in the price range of Rs. 2.99 - 4.08 Cr. Ashiana Aaroham has apartments in multiple configurations, in range of 1,057 - 1,521 sqft",,,"Nearby : Elan Mercado Mall Hyatt Regency, Gurugram"
41,Project,"3, 4 BHK Flat in Sector 86, Gurgaon","3, 4 BHK Flat in Sector 86, Gurgaon",₹4.7 Cr,,4.0,,4 BHK,1998.0,"1,998 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 86 available for sale in Emaar Serenity Hills. Apartments in Emaar Serenity Hills have CARPET area ranging between 1,182 - 1,998 sqft. This society is RERA approved and GGM/993/725/2025/96 DATED 16.10.2025 is the RERA number. This society offers apartments in the price range of Rs. 2.79 - 4.7 Cr",,,Nearby : Aarvy Healthcare Dwarka Expressway
44,Project,"3, 4 BHK Flat in Sector 63A, Gurgaon","3, 4 BHK Flat in Sector 63A, Gurgaon",₹7.7 Cr,,3.0,,3 BHK,2157.0,"2,157 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 63A, now available for sale at TARC Ishva. This society is RERA approved and GGM/865/597/2024/92 DATED 04.09.2024 is the RERA number. Apartments in TARC Ishva have CARPET area ranging between 1,588 - 2,157 sqft. Apartments in this complex are available in price range of Rs. 7.7 - 10.48 Cr",,,Nearby : C.G.S international School Grand Hyatt
45,Project,"3, 4 BHK Flat in Sector 63A, Gurgaon","3, 4 BHK Flat in Sector 63A, Gurgaon",₹10.48 Cr,,4.0,,4 BHK,2157.0,"2,157 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 63A, now available for sale at TARC Ishva. This society is RERA approved and GGM/865/597/2024/92 DATED 04.09.2024 is the RERA number. Apartments in TARC Ishva have CARPET area ranging between 1,588 - 2,157 sqft. Apartments in this complex are available in price range of Rs. 7.7 - 10.48 Cr",,,Nearby : C.G.S international School Grand Hyatt
46,Project,"3, 4 BHK Flat in Sector 78, Gurgaon","3, 4 BHK Flat in Sector 78, Gurgaon",₹3.7 Cr,,3.0,,3 BHK,1744.0,"1,744 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 78 available for sale in Suncitys Monarch Residences. The housing society is RERA-registered with GGM/1037/769/2026/09 DATED 22.01.2026 registration number. Apartments in this complex are available in price range of Rs. 3.7 - 5 Cr. Suncitys Monarch Residences apartments are available in multiples sizes, ranging from 1,333 - 1,744 sqft CARPET area",,,Nearby : Hyatt Regency Gurugram Entertainland Mall
47,Project,"3, 4 BHK Flat in Sector 78, Gurgaon","3, 4 BHK Flat in Sector 78, Gurgaon",₹5 Cr,,4.0,,4 BHK,1744.0,"1,744 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 78 available for sale in Suncitys Monarch Residences. The housing society is RERA-registered with GGM/1037/769/2026/09 DATED 22.01.2026 registration number. Apartments in this complex are available in price range of Rs. 3.7 - 5 Cr. Suncitys Monarch Residences apartments are available in multiples sizes, ranging from 1,333 - 1,744 sqft CARPET area",,,Nearby : Hyatt Regency Gurugram Entertainland Mall
53,Project,"2, 3, 4 BHK Flat in Sector 113, Gurgaon","2, 3, 4 BHK Flat in Sector 113, Gurgaon",₹3.58 Cr,,2.0,,2 BHK,2600.0,"2,600 sqft",,,,,,,,,"Finest 2,3,4 BHK apartments in Sector 113 available for sale in Smartworld One DXP. The housing society is RERA-registered with GGM/645/377/2022/120 DATED 13.12.2022 registration number. Apartment prices in this housing society vary in the range of Rs. 3.58 - 6.79 Cr. Here units have different sizes, mostly in range of 1,370 - 2,600 sqft CARPET area",,,Nearby : Dwarka Expressway DPSG Palam Vihar
57,Project,"3, 4 BHK Flat in Sector 104, Gurgaon","3, 4 BHK Flat in Sector 104, Gurgaon",₹4.55 Cr,,3.0,,3 BHK,1808.0,"1,808 sqft",,,,,,,,,"Beautiful 3,4 BHK apartments in Sector 104, are now available in The Palatial by Hero Homes housing project. Apartments in this complex are available in price range of Rs. 4.55 - 6.08 Cr. The housing society is RERA-registered with GGM/906/638/2025/09 DATED 27.01.2025 registration number. The Palatial by Hero Homes has apartments in multiple configurations, in range of 1,446 - 1,808 sqft",,,Nearby : Delhi Public School Shree Krishna Hospital
63,Project,"4 BHK Flat in Sector 77, Gurgaon","4 BHK Flat in Sector 77, Gurgaon",₹7.5 Cr,,4.0,,4 BHK,2150.0,"2,150 sqft",,,South,,,,,,"Beautiful 4 BHK apartments in Sector 77, are now available in DLF Privana South housing project. Apartments in this complex are available in price range of Rs. 7.5 Cr. Apartments in DLF Privana South have CARPET area ranging between 2,150 sqft. The housing society is RERA-registered with GGM/772/504/2023/116 DATED 18.12.2023 registration number",,,Nearby : Gurgaon - Delhi Expressway Hyatt Regency Hotel Gurugram
64,Project,"3, 4 BHK Flat in Sector 104, Gurgaon","3, 4 BHK Flat in Sector 104, Gurgaon",₹3.81 Cr,,3.0,,3 BHK,1330.0,"1,330 sqft",,,,,,,,,"Godrej Summit society now offers elegantly built 3,4 BHK apartments in Sector 104. The housing society is RERA-registered with 75 OF 2017 DATED 21.08.2017 registration number. Godrej Summit apartments are available in multiples sizes, ranging from 884 - 1,330 sqft CARPET area. Prices of apartments in this project, vary between Rs. 3.81 - 5.66 Cr",,,Nearby : Dhanwapur Road Gurgaon Railway Station
65,Project,"3, 4 BHK Flat in Sector 104, Gurgaon","3, 4 BHK Flat in Sector 104, Gurgaon",₹5.66 Cr,,4.0,,4 BHK,1330.0,"1,330 sqft",,,,,,,,,"Godrej Summit society now offers elegantly built 3,4 BHK apartments in Sector 104. The housing society is RERA-registered with 75 OF 2017 DATED 21.08.2017 registration number. Godrej Summit apartments are available in multiples sizes, ranging from 884 - 1,330 sqft CARPET area. Prices of apartments in this project, vary between Rs. 3.81 - 5.66 Cr",,,Nearby : Dhanwapur Road Gurgaon Railway Station
67,Project,"3, 4 BHK Flat in Sector 103, Gurgaon","3, 4 BHK Flat in Sector 103, Gurgaon",₹5.66 Cr,,4.0,,4 BHK,3700.0,"3,700 sqft",,,,,,,,,"Here are beautifully built 3,4 BHK apartments in Sector 103, available for sale at Godrej Vrikshya. The housing society is RERA-registered with GGM/846/578/2024/73 DATED 01.07.2024 registration number. Prices of apartments in this project, vary between Rs. 3.81 - 5.66 Cr. Godrej Vrikshya has apartments in multiple configurations, in range of 1,947 - 3,700 sqft",,,Nearby : Indira Gandhi International Airport Fortis Hospital
69,Project,"3, 4, 5 BHK Flat in Sector 63A, Gurgaon","3, 4, 5 BHK Flat in Sector 63A, Gurgaon",₹6.58 Cr,,3.0,,3 BHK,4164.0,"4,164 sqft",,,,,,,,,"Silverglades The Legacy society now offers elegantly built 3,4,5 BHK apartments in Sector 63A. The housing society is RERA-registered with GGM/861/593/2024/88 DATED 16.08.2024 registration number. Silverglades The Legacy has apartments in multiple configurations, in range of 1,614 - 4,164 sqft. This society offers apartments in the price range of Rs. 6.58 - 16.46 Cr",,,Nearby : GAYTRI PUBLIC SCHOOL Gurugram University
73,Project,"3 BHK Flat in Sector 37D, Gurgaon","3 BHK Flat in Sector 37D, Gurgaon",₹4.02 Cr,,3.0,,3 BHK,1513.0,"1,513 sqft",,,,,,,,,"Navraj The Kingstown Heights society now offers elegantly built 3 BHK apartments in Sector 37D. Here units have different sizes, mostly in range of 1,513 sqft CARPET area. Prices of apartments in this project, vary between Rs. 4.02 Cr. This society is RERA approved and GGM/915/647/2025/18 is the RERA number",,,Nearby : MDS Public School Aarvy Healthcare Speciality Hospital
78,Project,"4 BHK Flat in Sector 43, Gurgaon","4 BHK Flat in Sector 43, Gurgaon",₹14.8 Cr,,4.0,,4 BHK,2288.0,"2,288 sqft",,,,,,,,,"Spacious 4 BHK apartments in Sector 43 are available for sale.Check out latest property options at Godrej Miraya housing society. Godrej Miraya has apartments in multiple configurations, in range of 2,238 - 2,288 sqft. Prices of apartments in this project, vary between Rs. 14.8 Cr. Godrej Miraya is a RERA- registered society and GGM/870/602/2024/97 DATED 24.09.2024 is the RERA registration number",,,Nearby : DLF One Horizon Center Gd Goenka Signature School
81,Project,"4 BHK Flat in Sector 90, Gurgaon","4 BHK Flat in Sector 90, Gurgaon",₹3.61 Cr,,4.0,,4 BHK,2530.0,"2,530 sqft",,,,,,,,,"SS Camasa society now offers elegantly built 4 BHK apartments in Sector 90. SS Camasa apartments are available in multiples sizes, ranging from 2,530 sqft SUPER area. SS Camasa is a RERA- registered society and GGM/881/613/2024/108 DATED 04.11.2024 is the RERA registration number. Prices of apartments in this project, vary between Rs. 3.61 Cr",,,Nearby : Pranavananda International School Gurugram University
83,Project,"3, 4 BHK Flat in Sector 79, Gurgaon","3, 4 BHK Flat in Sector 79, Gurgaon",₹3.34 Cr,,4.0,,4 BHK,2675.0,"2,675 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 79, now available for sale at Bestech Altura. This society is RERA approved and 96 OF 2017 DATED 28.08.2017 is the RERA number. Apartments in this complex are available in price range of Rs. 2.52 - 3.34 Cr. Bestech Altura apartments are available in multiples sizes, ranging from 2,015 - 2,675 sqft SUPER area",,,Nearby : Mount Olympus Junior School Miracles Apollo Hospital
84,Project,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹2.73 Cr,,4.0,,4 BHK,2280.0,"2,280 sqft",,,,,,,,,"Altura at DXP 92, one of the known housing societes in Gurgaon, brings classic yet modern 4 BHK apartments in Sector 92. This society offers apartments in the price range of Rs. 2.73 Cr. This society is RERA approved and RC/REP/HARERA/GGM/270 of 20l7/7(3)/40/2023/17 is the RERA number. Altura at DXP 92 has apartments in multiple configurations, in range of 2,280 sqft",,,Nearby : Pranavananda International School Sapphire 90 Mall
87,Project,"2, 3, 4, 5 BHK Flat in Sector 113, Gurgaon","2, 3, 4, 5 BHK Flat in Sector 113, Gurgaon",₹3.77 Cr,,2.0,,2 BHK,6769.0,"6,769 sqft",,,,,,,,,"Check out 2,3,4,5 BHK apartments in Sector 113, now available for sale at M3M Mansion. Apartment prices in this housing society vary in the range of Rs. 3.77 - 26.87 Cr. Here units have different sizes, mostly in range of 1,638 - 6,769 sqft SUPER area. M3M Mansion is a RERA- registered society and GGM/802/534/2024/29 is the RERA registration number",,,Nearby : DPSG Palam Vihar Manipal Hospital
93,Project,"3, 4, 5 BHK Flat in Sector 59, Gurgaon","3, 4, 5 BHK Flat in Sector 59, Gurgaon",₹13 Cr,,5.0,,5 BHK,3385.0,"3,385 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 59, now available in Mahindra Luminare. Mahindra Luminare 's RERA registration number is 47 OF 2017 DATED 26.10.2017. Apartment prices in this housing society vary in the range of Rs. 6.01 - 13 Cr. Apartments in Mahindra Luminare have CARPET area ranging between 1,342 - 3,385 sqft",,,Nearby : Shalom Presidency School Bestech Central Square Mall
100,Project,"3, 4 BHK Flat in Sector 53, Gurgaon","3, 4 BHK Flat in Sector 53, Gurgaon",₹8.31 Cr,,3.0,,3 BHK,2250.0,"2,250 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 53, now available for sale at Godrej Sora. Apartments in Godrej Sora have CARPET area ranging between 1,552 - 2,250 sqft. Apartments in this complex are available in price range of Rs. 8.31 - 13.01 Cr. Godrej Sora 's RERA registration number is GGM/976/708/2025/79",,,Nearby : IILM University Ardee Mall
102,Project,"2, 3, 4 BHK Flat in Sector 3, Gurgaon","2, 3, 4 BHK Flat in Sector 3, Gurgaon",₹1.45 Cr,,2.0,,2 BHK,1572.0,"1,572 sqft",,,,,,,,,"Spacious 2,3,4 BHK apartments in Sector 3 are available for sale.Check out latest property options at Godrej Habitat housing society. Apartment prices in this housing society vary in the range of Rs. 1.45 - 2.6 Cr. The housing society is RERA-registered with GGM/317/49/2019/11 DATED 08.03.2019 registration number. Here units have different sizes, mostly in range of 913 - 1,572 sqft CARPET area",,,Nearby : Sneh Hospital Gems International School
103,Project,"2, 3, 4 BHK Flat in Sector 3, Gurgaon","2, 3, 4 BHK Flat in Sector 3, Gurgaon",₹2.1 Cr,,3.0,,3 BHK,1572.0,"1,572 sqft",,,,,,,,,"Spacious 2,3,4 BHK apartments in Sector 3 are available for sale.Check out latest property options at Godrej Habitat housing society. Apartment prices in this housing society vary in the range of Rs. 1.45 - 2.6 Cr. The housing society is RERA-registered with GGM/317/49/2019/11 DATED 08.03.2019 registration number. Here units have different sizes, mostly in range of 913 - 1,572 sqft CARPET area",,,Nearby : Sneh Hospital Gems International School
104,Project,"2, 3, 4 BHK Flat in Sector 3, Gurgaon","2, 3, 4 BHK Flat in Sector 3, Gurgaon",₹2.6 Cr,,4.0,,4 BHK,1572.0,"1,572 sqft",,,,,,,,,"Spacious 2,3,4 BHK apartments in Sector 3 are available for sale.Check out latest property options at Godrej Habitat housing society. Apartment prices in this housing society vary in the range of Rs. 1.45 - 2.6 Cr. The housing society is RERA-registered with GGM/317/49/2019/11 DATED 08.03.2019 registration number. Here units have different sizes, mostly in range of 913 - 1,572 sqft CARPET area",,,Nearby : Sneh Hospital Gems International School
105,Project,"2, 3 BHK Flat in Sector 102, Gurgaon","2, 3 BHK Flat in Sector 102, Gurgaon",₹3.47 Cr,,2.0,,2 BHK,,,,,,Under Construction,,,,,"BPTP Amstoria Verti Greens society now offers elegantly built 2,3 BHK apartments in Sector 102. This society offers apartments in the price range of Rs. 3.47 - 4.2 Cr. BPTP Amstoria Verti Greens is a RERA- registered society and GGM/910/642/2025/13 is the RERA registration number. The apartments here are Under Construction",,,Nearby : Satya The Hive Business Center Delhi Public School
112,Project,"3, 4 BHK Flat in Sector 71, Gurgaon","3, 4 BHK Flat in Sector 71, Gurgaon",₹5.3 Cr,,3.0,,3 BHK,3780.0,"3,780 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 71 available for sale in Signature Global Titanium SPR. Here units have different sizes, mostly in range of 2,780 - 3,780 sqft SUPER area. Signature Global Titanium SPR is a RERA- registered society and GGM/831/563/2024/58 DATED 03.06.2024 is the RERA registration number. Apartments in this complex are available in price range of Rs. 5.3 - 7.19 Cr",,,Nearby : CD International School Polaris Hospital
113,Project,"3, 4 BHK Flat in Sector 71, Gurgaon","3, 4 BHK Flat in Sector 71, Gurgaon",₹7.19 Cr,,4.0,,4 BHK,3780.0,"3,780 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 71 available for sale in Signature Global Titanium SPR. Here units have different sizes, mostly in range of 2,780 - 3,780 sqft SUPER area. Signature Global Titanium SPR is a RERA- registered society and GGM/831/563/2024/58 DATED 03.06.2024 is the RERA registration number. Apartments in this complex are available in price range of Rs. 5.3 - 7.19 Cr",,,Nearby : CD International School Polaris Hospital
114,Project,"2, 3 BHK Flat in Sector 104, Gurgaon","2, 3 BHK Flat in Sector 104, Gurgaon",₹1.62 Cr,,2.0,,2 BHK,1689.0,"1,689 sqft",,,,,,,,,"Finest 2,3 BHK apartments in Sector 104 available for sale in Hero Homes. Hero Homes apartments are available in multiples sizes, ranging from 1,099 - 1,689 sqft SUPER area. This society offers apartments in the price range of Rs. 1.62 - 2.48 Cr. Hero Homes is a RERA- registered society and GGM/292/2018/24 DATED 13.11.2018 is the RERA registration number",,,Nearby : Gurugram Global Heights School The Esplanade Mall
118,Project,"2, 3, 4 BHK Flat in Sector-33 Sohna, Gurgaon","2, 3, 4 BHK Flat in Sector-33 Sohna, Gurgaon",₹5.99 Cr,,4.0,,4 BHK,,,,,,,,,,"Swimming Pool, Gym, Club House","Central Park Flower Valley brings you beautifully designed 2 BHK Apartment, 3 BHK Apartment and 4 BHK Apartment in Sector-33 Sohna. Swimming Pool, Gymnasium and Club House are some of the popular amenities offered in this project. Prices here start from Rs. 2.72 Cr. The housing society is spread over an area of 500 acres",,,Nearby : NH 248A GD Goenka Signature School
123,Project,"2, 3 BHK Flat in Sohna, Gurgaon","2, 3 BHK Flat in Sohna, Gurgaon",₹1.72 Cr,,3.0,,3 BHK,1730.0,"1,730 sqft",,,,,,,,,"Choose your dream home from the wide variety of 2,3 BHK apartments in Sohna, available for sale in Ashiana Mulberry. Apartments in Ashiana Mulberry have SUPER area ranging between 1,210 - 1,730 sqft. This society offers apartments in the price range of Rs. 1.21 - 1.72 Cr. Ashiana Mulberry is a RERA- registered society and GGM/290/2018/22 DATED 23.10.2018 is the RERA registration number",,,Nearby : K.R. Mangalam University Vardaan Hospital
128,Project,"2, 3, 4 BHK Flat in Sector 89, Gurgaon","2, 3, 4 BHK Flat in Sector 89, Gurgaon",₹1.98 Cr,,4.0,,4 BHK,2750.0,"2,750 sqft",,,,,,,,,"Greenopolis society now offers elegantly built 2,3,4 BHK apartments in Sector 89. Prices of apartments in this project, vary between Rs. 1.3 - 1.98 Cr. Apartments in Greenopolis have SUPER area ranging between 1,297 - 2,750 sqft. Greenopolis 's RERA registration number is RC/REP/HARERA/GGM/311/43/2019/05",,,Nearby : RPS International School EBD 89 Business Park
129,Project,"3, 4 BHK Flat in Sector 80, Gurgaon","3, 4 BHK Flat in Sector 80, Gurgaon",₹7.01 Cr,,3.0,,3 BHK,2540.0,"2,540 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 80 available for sale in Sobha Aranya. Prices of apartments in this project, vary between Rs. 7.01 - 9.76 Cr. Sobha Aranya has apartments in multiple configurations, in range of 2,024 - 2,540 sqft. Sobha Aranya is a RERA- registered society and GGM/808/540/2024/35 DATED 01.04.2024 is the RERA registration number",,,"Nearby : Savoy Suites, Manesar Bal Bharati Public School IMT Manesar"
131,Project,"3, 5 BHK Flat in Sector 69, Gurgaon","3, 5 BHK Flat in Sector 69, Gurgaon",₹2.35 Cr,,3.0,,3 BHK,2946.0,"2,946 sqft",,,,,,,,,"Finest 3,5 BHK apartments in Sector 69 available for sale in Tulip Yellow. Tulip Yellow is a RERA- registered society and GGM/376/108/2019/70 DATED 14.11.2019 is the RERA registration number. Apartments in Tulip Yellow have SUPER area ranging between 1,704 - 2,946 sqft. Apartment prices in this housing society vary in the range of Rs. 2.35 - 3.83 Cr",,,Nearby : Spaze Corporate Park Ananta Hospital
132,Project,"3, 5 BHK Flat in Sector 69, Gurgaon","3, 5 BHK Flat in Sector 69, Gurgaon",₹3.83 Cr,,5.0,,5 BHK,2946.0,"2,946 sqft",,,,,,,,,"Finest 3,5 BHK apartments in Sector 69 available for sale in Tulip Yellow. Tulip Yellow is a RERA- registered society and GGM/376/108/2019/70 DATED 14.11.2019 is the RERA registration number. Apartments in Tulip Yellow have SUPER area ranging between 1,704 - 2,946 sqft. Apartment prices in this housing society vary in the range of Rs. 2.35 - 3.83 Cr",,,Nearby : Spaze Corporate Park Ananta Hospital
134,Project,"3, 4 BHK Flat in Sector 61, Gurgaon","3, 4 BHK Flat in Sector 61, Gurgaon",₹5.66 Cr,,4.0,,4 BHK,1959.0,"1,959 sqft",,,,,,,,,"Here are beautifully built 3,4 BHK apartments in Sector 61, available for sale at Puri The Aravallis. Puri The Aravallis is a RERA- registered society and GGM/592/324/2022/67 DATED 18.07.2022 is the RERA registration number. Apartments in this complex are available in price range of Rs. 4.53 - 5.66 Cr. Puri The Aravallis apartments are available in multiples sizes, ranging from 1,569 - 1,959 sqft ",,,Nearby : Grand Hyatt Gurgaon Gitanjali International School
135,Project,"3, 4 BHK Flat in Sector 48, Gurgaon","3, 4 BHK Flat in Sector 48, Gurgaon",₹7.57 Cr,,3.0,,3 BHK,2013.0,"2,013 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4 BHK apartments in Sector 48, now available in Experion The Trillion. Prices of apartments in this project, vary between Rs. 7.17 - 7.57 Cr. Experion The Trillion 's RERA registration number is GGM/911/643/2025/14 DATED 11.02.2025. Apartments in Experion The Trillion have CARPET area ranging between 1,906 - 2,013 sqft",,,Nearby : GD Goenka Spaze iTech Park
136,Project,"3, 4 BHK Flat in Sector 48, Gurgaon","3, 4 BHK Flat in Sector 48, Gurgaon",₹7.17 Cr,,4.0,,4 BHK,2013.0,"2,013 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4 BHK apartments in Sector 48, now available in Experion The Trillion. Prices of apartments in this project, vary between Rs. 7.17 - 7.57 Cr. Experion The Trillion 's RERA registration number is GGM/911/643/2025/14 DATED 11.02.2025. Apartments in Experion The Trillion have CARPET area ranging between 1,906 - 2,013 sqft",,,Nearby : GD Goenka Spaze iTech Park
