property_id,property_name,rating,price,area,area_with_type,configuration,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,society,address,nearby_location,link
R64282142,"4 BHK Flat in Sector 50, Noida",N/A,"₹7.95 Cr
₹16,562 /sqft",4800,"4,800 sqft",4 BHK,N/A,N/A,Ready to move,N/A,N/A,Servant Room,"Parking, Lift",4 bhk 4800 sq ft duplex penthouse with 2 servant rooms & 900 sq ft terrace and 4 car parkings in ambience tiverton sector 50. This is a new construction luxurious project in the heart of noida by the ,,Ambience Tiverton,N/A,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambience-tiverton-sector-50-noida-4800-sq-ft-r18-spid-R64282142
,"4 BHK Flat in Sector 50, Noida",N/A,"₹7.95 Cr
₹16,562 /sqft",4800,"4,800 sqft",4 BHK,N/A,N/A,Ready to move,N/A,N/A,Servant Room,"Parking, Lift",4 bhk 4800 sq ft duplex penthouse with 2 servant rooms & 900 sq ft terrace and 4 car parkings in ambience tiverton sector 50. This is a new construction luxurious project in the heart of noida by the ,,Ambience Tiverton,N/A,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambience-tiverton-sector-50-noida-4800-sq-ft-r18-spid-R64282142
PREMIUM_LISTING,"4 BHK Flat in Sector 50, Noida",N/A,"₹7.95 Cr
₹16,562 /sqft",4800,"4,800 sqft",4 BHK,N/A,N/A,Ready to move,N/A,N/A,Servant Room,"Parking, Lift",4 bhk 4800 sq ft duplex penthouse with 2 servant rooms & 900 sq ft terrace and 4 car parkings in ambience tiverton sector 50. This is a new construction luxurious project in the heart of noida by the ,,Ambience Tiverton,N/A,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambience-tiverton-sector-50-noida-4800-sq-ft-r18-spid-R64282142
,"4 BHK Flat in Sector 50, Noida",N/A,"₹7.95 Cr
₹16,562 /sqft",4800,"4,800 sqft",4 BHK,N/A,N/A,Ready to move,N/A,N/A,Servant Room,"Parking, Lift",4 bhk 4800 sq ft duplex penthouse with 2 servant rooms & 900 sq ft terrace and 4 car parkings in ambience tiverton sector 50. This is a new construction luxurious project in the heart of noida by the ,N/A,Ambience Tiverton,N/A,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambience-tiverton-sector-50-noida-4800-sq-ft-r18-spid-R64282142
,"4 BHK Flat in Sector 50, Noida",N/A,N/A,N/A,N/A,4 BHK,N/A,N/A,Resale,N/A,N/A,N/A,N/A,N/A,N/A,Ambience Tiverton,N/A,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambience-tiverton-sector-50-noida-4800-sq-ft-r18-spid-R64282142
,"4 BHK Flat in Sector 50, Noida",N/A,N/A,N/A,N/A,4 BHK,N/A,N/A,Resale,N/A,N/A,N/A,N/A,N/A,N/A,Ambience Tiverton,N/A,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambience-tiverton-sector-50-noida-4800-sq-ft-r18-spid-R64282142
,N/A,N/A,"₹7.95 Cr
₹16,562 /sqft",4800,"4,800 sqft",4 BHK,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
srp_tuple_description,N/A,N/A,N/A,4800,4800 sq ft,4 bhk,N/A,N/A,New,N/A,N/A,Servant Room,"Parking, Lift",4 bhk 4800 sq ft duplex penthouse with 2 servant rooms & 900 sq ft terrace and 4 car parkings in ambience tiverton sector 50. This is a new construction luxurious project in the heart of noida by the ,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G75807653,"Residential land / Plot in Sector 145, Noida",N/A,"₹3.75 Cr
₹19,355 /sqft",1937,"1,937 sqft",N/A,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,"This residential sector is a meticulously well planned community that offers a promising lifestyle with convenient amenities, diverse facilities, perfect infrastructure including efficient connectivit",N/A,Noida Authority Plot,N/A,https://www.99acres.com/residential-land-plot-for-sale-in-sector-145-noida-215-sq-yard-r5-spid-G75807653
,"Residential land / Plot in Sector 145, Noida",N/A,"₹3.75 Cr
₹19,355 /sqft",1937,"1,937 sqft",N/A,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,"This residential sector is a meticulously well planned community that offers a promising lifestyle with convenient amenities, diverse facilities, perfect infrastructure including efficient connectivit",N/A,Noida Authority Plot,N/A,https://www.99acres.com/residential-land-plot-for-sale-in-sector-145-noida-215-sq-yard-r5-spid-G75807653
